,2026-03-31,2025-03-31,2024-03-31,2023-03-31
Operating Cash Flow,672501000.0,582029000.0,722022000.0,656905000.0
Capital Expenditure,-209472000.0,-214295000.0,-230354000.0,-229440000.0
Depreciation And Amortization,348390000.0,372075000.0,354269000.0,330827000.0
Free Cash Flow,463029000.0,367734000.0,491668000.0,427465000.0
Stock Based Compensation,3432000.0,7544000.0,9210000.0,7160000.0
